Part Name	Vendor	Cat #	Quantity	Unit Cost	Ext Cost	Link	Notes
Common Anode RGB LED (5mm)	Tayda	N/A	16	0.27	4.32	http://www.taydaelectronics.com/rgb-led-5mm.html	
Soft-touch SPST Switch	Tayda	N/A	13	1.99	25.87	http://www.taydaelectronics.com/spst-momentary-soft-touch-push-button-stomp-foots-pedal-switch.html	
"6.35MM 1/4"" STEREO CHASSIS SOCKET / JACK 3 TERMINALS"	Tayda	N/A	6	1.16	6.96	http://www.taydaelectronics.com/hardware/6-35mm-1-4-plugs-jacks/6-35mm-1-4-stereo-chassis-socket-jack-3-terminals.html	
74HC595 8 BIT SHIFT REGISTER IC	Tayda	N/A	1	0.29	0.29	http://www.taydaelectronics.com/74hc595-8-bit-shift-register-ic.html	
74HC165 74165 IC 8 BIT SHIFT REGISTER (PISO for output)	Tayda	N/A	2	0.34	0.68	http://www.taydaelectronics.com/74hc165-74165-ic-8-bit-shift-register.html	
LCD DISPLAY 16 X 2 BLUE CHARACTER WITH BACKLIGHT	Tayda	N/A	1	5.9	5.9	http://www.taydaelectronics.com/lcd-displays/lcd-display-16-x-2-blue-character-with-backlight.html	
5MM BEZEL LED HOLDER CHROME METAL	Tayda	N/A	16	0.17	2.72	http://www.taydaelectronics.com/leds/led-holders-bezels/5mm-bezel-led-holder-chrome-metal.html	
Hammond 1456PH1BKBU Enclosure	Mouser	546-1456PH1BKBU	1	34.09	34.09	http://www.mouser.com/ProductDetail/Hammond-Manufacturing/1456PH1BKBU/?qs=sGAEpiMZZMsrGrAVj6eTvV2qliFzow056TLhBkj7Nuw%3d	
BC550 NPN BJT	Mouser	821-BC550C-A1	1	0.13	0.13	http://www.mouser.com/Search/ProductDetail.aspx?R=BC550C_A1virtualkey53310000virtualkey821-BC550C-A1	
1K Resistor	Mouser	291-1K-RC	6	0.1	0.6	http://www.mouser.com/Search/ProductDetail.aspx?R=291-1K-RCvirtualkey21980000virtualkey291-1K-RC	
TLC5916 Shift Register	Mouser	595-TLC5916IN	6	1.54	9.24	http://www.mouser.com/Search/ProductDetail.aspx?R=TLC5916INvirtualkey59500000virtualkey595-TLC5916IN	
4N25 Optocoupler	Mouser	859-4N25	1	0.42	0.42	http://www.mouser.com/Search/ProductDetail.aspx?R=4N25virtualkey57820000virtualkey859-4N25	
3.3K resistor	Mouser	291-3.3K-RC	1	0.1	0.1	http://www.mouser.com/Search/ProductDetail.aspx?R=291-3.3K-RCvirtualkey21980000virtualkey291-3.3K-RC	
1M resistor	Mouser	291-1M-RC	1	0.1	0.1	http://www.mouser.com/ProductDetail/Xicon/291-1M-RC/?qs=sGAEpiMZZMu61qfTUdNhGzJEQZpR5iQqSPJoNLxrDWs%3d	
220 ohm resistor	Mouser	291-220-RC	3	0.1	0.3	http://www.mouser.com/Search/ProductDetail.aspx?R=291-220-RCvirtualkey21980000virtualkey291-220-RC	
Ethernet Jack	Mouser	568-NE8FDV-B	2	5.57	11.14	http://www.mouser.com/ProductDetail/Neutrik/NE8FDV-B/?qs=sGAEpiMZZMvQhAhQbXdbBoTnhlbmMnSOvi9DNYxmFOM%3d	
MIDI Port	Mouser	502-57GB5FX	4	3.12	12.48	http://www.mouser.com/ProductDetail/Switchcraft/57GB5FX/?qs=sGAEpiMZZMtAYTMy7wxAr6Injyb9yGN8XUTfjy%2fVzM4%3d	
1N4001 Diode	Mouser	512-1N4001	1	0.16	0.16	http://www.mouser.com/ProductDetail/Fairchild-Semiconductor/1N4001/?qs=sGAEpiMZZMuQUXCJI7Y4livqf9H1GTKY	
100uF capacitor	Tayda	N/A	1	0.02	0.02	http://www.taydaelectronics.com/capacitors/electrolytic-capacitors/100uf-6-3v-105c-radial-electrolytic-capacitor-6x6mm.html	
Arduino Uno	Sparkfun	11021	1	24.95	24.95	https://www.sparkfun.com/products/11021	
10K ohm Square Trimpot Variable Resistors	Amazon (Uxcell)	3362P-1-103 	1	3.88	3.88	http://www.uxcell.com/pcs-3362p1103-single-turn-trimer-pot-potentiometer-10k-ohm-p-865926.html	
2.1mmx5.5mm DC Power Jack Socket Threaded Female Connector	Amazon (Uxcell)	N/A	2	6.99	13.98	http://www.uxcell.com/21mmx55mm-power-jack-socket-threaded-female-connector-pcs-p-515271.html	
StarTech PC Mounting Computer Screws M3 x 1/4-Inches Long Standoff - 50 Pack SCREWM3	Amazon	B00032Q1J4	1	5.3	5.3	http://www.amazon.com/StarTech-Mounting-Computer-4-Inches-Standoff/dp/B00032Q1J4/ref=sr_1_1?ie=UTF8&qid=1462900701&sr=8-1&keywords=StarTech+PC+Mounting+Computer+Screws+M3+x+1%2F4-Inches+Long+Standoff+-+50+Pack+SCREWM3	
